import time: self [us] | cumulative | imported package
import time:       131 |        131 |           pymongo.server_api
import time:       132 |        132 |           pymongo.write_concern
import time:       580 |       6054 |         pymongo.common
import time:       218 |        218 |           pymongo._asyncio_task
import time:       740 |        740 |             pymongo._asyncio_lock
import time:       180 |        919 |           pymongo.lock
import time:       284 |       1420 |         pymongo.periodic_executor
import time:       207 |        207 |             pymongo.asynchronous.helpers
import time:       229 |        229 |             pymongo.collation
import time:       171 |        171 |             pymongo.cursor_shared
import time:      1118 |       1118 |               pymongo._cmessage
import time:      2628 |       3746 |             pymongo.message
import time:       164 |        164 |             pymongo.response
import time:       465 |       4980 |           pymongo.asynchronous.cursor
import time:       599 |        599 |           pymongo.operations
import time:       530 |       6107 |         pymongo.asynchronous.client_session
import time:       284 |        284 |           pymongo.asynchronous.aggregation
import time:       340 |        340 |             pymongo.asynchronous.command_cursor
import time:       368 |        708 |           pymongo.asynchronous.change_stream
import time:       367 |        367 |               pymongo.bulk_shared
import time:       437 |        437 |                 bson.json_util
import time:       553 |        990 |               pymongo.logger
import time:       222 |       1578 |             pymongo.asynchronous.bulk
import time:       372 |        372 |             pymongo.results
import time:       672 |       2622 |           pymongo.asynchronous.collection
import time:       113 |        113 |           pymongo.database_shared
import time:       530 |       4254 |         pymongo.asynchronous.database
import time:       249 |        249 |           pymongo.asynchronous.srv_resolver
import time:        43 |         43 |                   _wmi
import time:       579 |        622 |                 platform
import time:       232 |        232 |                       xml
import time:       400 |        631 |                     xml.parsers
import time:       892 |        892 |                     pyexpat
import time:       243 |       1765 |                   xml.parsers.expat
import time:       681 |       2446 |                 plistlib
import time:       382 |        382 |                   stringprep
import time:       523 |        904 |                 encodings.idna
import time:       474 |       4444 |               pymongo.pool_options
import time:       311 |        311 |                       cryptography.utils
import time:       204 |        204 |                       cryptography.__about__
import time:       293 |        807 |                     cryptography
import time:       204 |        204 |                           cryptography.hazmat
import time:       218 |        421 |                         cryptography.hazmat.bindings
import time:      1144 |       1144 |                         _cffi_backend
import time:      2941 |       4506 |                       cryptography.hazmat.bindings._rust
import time:       438 |       4943 |                     cryptography.x509.certificate_transparency
import time:       197 |        197 |                               cryptography.hazmat.primitives
import time:       393 |        393 |                               cryptography.hazmat.primitives.hashes
import time:       485 |       1075 |                             cryptography.hazmat._oid
import time:       215 |       1289 |                           cryptography.x509.oid
import time:      4496 |       5785 |                         cryptography.x509.name
import time:       352 |       6136 |                       cryptography.x509.general_name
import time:       253 |       6389 |                     cryptography.x509.verification
import time:       190 |        190 |                       cryptography.hazmat.primitives.asymmetric
import time:       373 |        373 |                         cryptography.hazmat.primitives._serialization
import time:       247 |        247 |                         cryptography.hazmat.primitives.asymmetric.utils
import time:       334 |        953 |                       cryptography.hazmat.primitives.asymmetric.dsa
import time:       269 |        269 |                         cryptography.exceptions
import time:       466 |        735 |                       cryptography.hazmat.primitives.asymmetric.ec
import time:       333 |        333 |                       cryptography.hazmat.primitives.asymmetric.ed448
import time:       155 |        155 |                       cryptography.hazmat.primitives.asymmetric.ed25519
import time:       180 |        180 |                         cryptography.hazmat.primitives._asymmetric
import time:       226 |        226 |                         cryptography.hazmat.primitives.asymmetric.rsa
import time:       173 |        577 |                       cryptography.hazmat.primitives.asymmetric.padding
import time:       130 |        130 |                       cryptography.hazmat.primitives.asymmetric.x448
import time:       122 |        122 |                       cryptography.hazmat.primitives.asymmetric.x25519
import time:       212 |        212 |                         cryptography.hazmat.primitives.asymmetric.dh
import time:       254 |        465 |                       cryptography.hazmat.primitives.asymmetric.types
import time:       261 |        261 |                         cryptography.hazmat.primitives.constant_time
import time:       233 |        233 |                           cryptography.hazmat.primitives.serialization.base
import time:       729 |        729 |                             dataclasses
import time:       120 |        120 |                               cryptography.hazmat.primitives._cipheralgorithm
import time:       101 |        101 |                                         cryptography.hazmat.decrepit
import time:       128 |        228 |                                       cryptography.hazmat.decrepit.ciphers
import time:       309 |        536 |                                     cryptography.hazmat.decrepit.ciphers.algorithms
import time:       235 |        771 |                                   cryptography.hazmat.primitives.ciphers.algorithms
import time:       310 |       1080 |                                 cryptography.hazmat.primitives.ciphers.modes
import time:       272 |       1351 |                               cryptography.hazmat.primitives.ciphers.base
import time:       160 |       1630 |                             cryptography.hazmat.primitives.ciphers
import time:        56 |         56 |                             bcrypt
import time:      1800 |       4213 |                           cryptography.hazmat.primitives.serialization.ssh
import time:       248 |       4692 |                         cryptography.hazmat.primitives.serialization
import time:      1067 |       6019 |                       cryptography.x509.extensions
import time:       559 |      10233 |                     cryptography.x509.base
import time:       298 |      22668 |                   cryptography.x509
import time:       114 |        114 |                             pyasn1
import time:       140 |        254 |                           pyasn1.codec
import time:       132 |        386 |                         pyasn1.codec.der
import time:        90 |         90 |                         pyasn1.codec.cer
import time:       195 |        195 |                           pyasn1.error
import time:       208 |        208 |                             pyasn1.type
import time:        94 |         94 |                               pyasn1.codec.ber
import time:        99 |         99 |                                     pyasn1.type.error
import time:       341 |        440 |                                   pyasn1.type.constraint
import time:       251 |        251 |                                   pyasn1.type.tag
import time:        99 |         99 |                                   pyasn1.type.tagmap
import time:       406 |       1194 |                                 pyasn1.type.base
import time:       147 |       1341 |                               pyasn1.codec.ber.eoo
import time:       105 |        105 |                               pyasn1.compat
import time:       127 |        127 |                               pyasn1.compat.integer
import time:       285 |        285 |                               pyasn1.type.namedtype
import time:       123 |        123 |                               pyasn1.type.namedval
import time:       979 |       3050 |                             pyasn1.type.univ
import time:       254 |       3511 |                           pyasn1.codec.streaming
import time:       185 |        185 |                             pyasn1.debug
import time:       322 |        322 |                             pyasn1.type.char
import time:       185 |        185 |                             pyasn1.type.useful
import time:       808 |       1498 |                           pyasn1.codec.ber.decoder
import time:       325 |       5528 |                         pyasn1.codec.cer.decoder
import time:       301 |       6304 |                       pyasn1.codec.der.decoder
import time:       139 |        139 |                             attr._compat
import time:       228 |        228 |                               attr._config
import time:       236 |        236 |                                 attr.exceptions
import time:       760 |        996 |                               attr.setters
import time:      1924 |       3147 |                             attr._make
import time:       231 |       3516 |                           attr.converters
import time:       161 |        161 |                           attr.filters
import time:      2161 |       2161 |                           attr.validators
import time:       149 |        149 |                           attr._cmp
import time:       234 |        234 |                           attr._funcs
import time:       227 |        227 |                           attr._next_gen
import time:       443 |        443 |                           attr._version_info
import time:       344 |       7232 |                         attr
import time:       613 |       7844 |                       service_identity.exceptions
import time:       514 |        514 |                             idna.idnadata
import time:       274 |        274 |                             idna.intranges
import time:       580 |       1367 |                           idna.core
import time:       157 |        157 |                           idna.package_data
import time:       210 |       1733 |                         idna
import time:      1941 |       3673 |                       service_identity.hazmat
import time:       195 |      18015 |                     service_identity.cryptography
import time:       111 |        111 |                                 cryptography.hazmat.bindings.openssl
import time:       194 |        194 |                                 cryptography.hazmat.bindings.openssl._conditional
import time:       892 |       1195 |                               cryptography.hazmat.bindings.openssl.binding
import time:       283 |       1478 |                             OpenSSL._util
import time:       762 |        762 |                             OpenSSL.crypto
import time:      1099 |       3338 |                           OpenSSL.SSL
import time:       109 |        109 |                           OpenSSL.version
import time:       805 |       4251 |                         OpenSSL
import time:        10 |       4260 |                       OpenSSL.crypto
import time:       236 |       4496 |                     service_identity.pyopenssl
import time:       203 |      22713 |                   service_identity
import time:       270 |        270 |                   pymongo.ocsp_cache
import time:       179 |        179 |                     cryptography.hazmat.backends
import time:       397 |        397 |                     cryptography.x509.ocsp
import time:       421 |        421 |                           email.errors
import time:       689 |        689 |                             http
import time:       230 |        230 |                                     email.quoprimime
import time:       160 |        160 |                                     email.base64mime
import time:       223 |        223 |                                         quopri
import time:       182 |        404 |                                       email.encoders
import time:       236 |        640 |                                     email.charset
import time:       472 |       1501 |                                   email.header
import time:       343 |       1843 |                                 email._policybase
import time:       454 |       2297 |                               email.feedparser
import time:       228 |       2524 |                             email.parser
import time:       248 |        248 |                               email._encoded_words
import time:       189 |        189 |                               email.iterators
import time:       482 |        918 |                             email.message
import time:       982 |       5111 |                           http.client
import time:       792 |       6323 |                         urllib3.exceptions
import time:       334 |        334 |                                 urllib3.util.timeout
import time:      2008 |       2341 |                               urllib3.util.connection
import time:       181 |        181 |                                 urllib3.util.util
import time:        40 |         40 |                                 brotlicffi
import time:        31 |         31 |                                 brotli
import time:        30 |         30 |                                 compression
import time:      1031 |       1031 |                                   zstandard.backend_c
import time:       161 |       1192 |                                 zstandard
import time:       464 |       1935 |                               urllib3.util.request
import time:       234 |        234 |                               urllib3.util.response
import time:       398 |        398 |                               urllib3.util.retry
import time:      3152 |       3152 |                                 urllib3.util.url
import time:       817 |        817 |                                 urllib3.util.ssltransport
import time:       369 |       4337 |                               urllib3.util.ssl_
import time:       256 |        256 |                               urllib3.util.wait
import time:       514 |      10012 |                             urllib3.util
import time:        14 |      10025 |                           urllib3.util.connection
import time:       446 |      10470 |                         urllib3._base_connection
import time:       500 |        500 |                         urllib3._collections
import time:       196 |        196 |                         urllib3._version
import time:        37 |         37 |                                   _winapi
import time:        32 |         32 |                                   winreg
import time:       318 |        386 |                                 mimetypes
import time:       222 |        607 |                               urllib3.fields
import time:       262 |        868 |                             urllib3.filepost
import time:        42 |         42 |                               brotlicffi
import time:        32 |         32 |                               brotli
import time:       228 |        228 |                                         zipfile._path.glob
import time:       577 |        805 |                                       zipfile._path
import time:       644 |       1448 |                                     zipfile
import time:       318 |        318 |                                     importlib.metadata._meta
